player,dealer,action,value
21,2,0,1.7467870201968752
21,2,1,1.7556220672684484
14,6,0,0.6418208174348042
14,6,1,0.6506558645063775
14,3,0,0.9778447291682337
14,3,1,0.986679776239807
16,9,0,0.4934924258301838
16,9,1,0.502327472901757
15,10,0,0.2876366951879694
15,10,1,0.29647174225954265
19,8,0,0.8870436766012073
19,8,1,0.8958787236727805
15,5,0,0.8476765480770185
15,5,1,0.8565115951485918
19,10,0,0.6630277354455876
19,10,1,0.6718627825171608
14,10,0,0.19378893512356488
14,10,1,0.2026239821951381
20,10,0,0.7568754955099921
20,10,1,0.7657105425815653
12,9,0,0.11810138557256566
12,9,1,0.1269364326441389
17,7,0,0.8113561270502081
17,7,1,0.8201911741217813
17,10,0,0.4753322153167785
17,10,1,0.4841672623883517
11,4,0,0.5842934783972105
11,4,1,0.5931285254687837
12,10,0,0.006093414994755797
12,10,1,0.014928462066329033
19,6,0,1.111059617756827
19,6,1,1.1198946648284003
9,10,0,-0.2754498651984576
9,10,1,-0.26661481812688437
21,10,0,0.8507232555743964
21,10,1,0.8595583026459697
18,10,0,0.569179975381183
18,10,1,0.5780150224527563
20,7,0,1.0928994072434217
20,7,1,1.101734454314995
20,2,0,1.6529392601324706
20,2,1,1.6617743072040438
15,9,0,0.3996446657657793
15,9,1,0.4084797128373525
17,4,0,1.1473800387836375
17,4,1,1.1562150858552107
16,5,0,0.9415243081414231
16,5,1,0.9503593552129963
10,2,0,0.7144616594884255
10,2,1,0.7232967065599988
16,10,0,0.38148445525237396
16,10,1,0.3903195023239472
13,10,0,0.09994117505916034
13,10,1,0.10877622213073357
15,4,0,0.9596845186548284
15,4,1,0.9685195657264016
7,9,0,-0.3511374147494568
7,9,1,-0.3423023676778836
20,8,0,0.9808914366656118
20,8,1,0.9897264837371851
13,8,0,0.32395711621478007
13,8,1,0.3327921632863533
8,10,0,-0.36929762526286214
8,10,1,-0.3604625781912889
11,7,0,0.24826956666378108
11,7,1,0.2571046137353543
13,11,0,-0.01206679551864931
13,11,1,-0.0032317484470760736
11,11,0,-0.19976231564745817
11,11,1,-0.19092726857588493
10,10,0,-0.18160210513405306
10,10,1,-0.17276705806247983
13,5,0,0.6599810279482095
13,5,1,0.6688160750197827
17,5,0,1.0353720682058276
17,5,1,1.0442071152774008
18,6,0,1.0172118576924225
18,6,1,1.0260469047639957
19,7,0,0.9990516471790172
19,7,1,1.0078866942505904
19,4,0,1.3350755589124466
19,4,1,1.3439106059840198
20,4,0,1.428923318976851
20,4,1,1.4377583660484243
13,9,0,0.2119491456369702
13,9,1,0.22078419270854344
16,6,0,0.8295163375636133
16,6,1,0.8383513846351865
13,4,0,0.7719889985260193
13,4,1,0.7808240455975926
20,9,0,0.868883466087802
20,9,1,0.8777185131593752
19,2,0,1.559091500068066
19,2,1,1.5679265471396393
18,9,0,0.6811879459589929
18,9,1,0.6900229930305661
17,9,0,0.5873401858945884
17,9,1,0.5961752329661616
12,8,0,0.23010935615037553
12,8,1,0.23894440322194876
18,8,0,0.7931959165368028
18,8,1,0.802030963608376
14,4,0,0.8658367585904239
14,4,1,0.8746718056619971
16,4,0,1.053532278719233
16,4,1,1.0623673257908062
14,9,0,0.30579690570137474
14,9,1,0.314631952772948
10,9,0,-0.06959413455624319
10,9,1,-0.06075908748466996
11,10,0,-0.08775434506964852
11,10,1,-0.07891929799807529
16,3,0,1.1655402492970428
16,3,1,1.174375296368616
17,11,0,0.36332424473896885
17,11,1,0.3721592918105421
19,9,0,0.7750357060233974
19,9,1,0.7838707530949707
16,2,0,1.2775482198748525
16,2,1,1.2863832669464257
18,4,0,1.241227798848042
18,4,1,1.2500628459196153
15,8,0,0.5116526363435892
15,8,1,0.5204876834151624
12,7,0,0.3421173267281854
12,7,1,0.35095237379975863
14,5,0,0.753828788012614
14,5,1,0.7626638350841872
19,5,0,1.2230675883346367
19,5,1,1.23190263540621
18,3,0,1.3532357694258519
18,3,1,1.3620708164974251
15,7,0,0.623660606921399
15,7,1,0.6324956539929723
7,10,0,-0.4631453853272667
7,10,1,-0.45431033825569345
13,2,0,0.996004939681639
13,2,1,1.0048399867532123
15,2,0,1.183700459810448
15,2,1,1.1925355068820211
14,2,0,1.0898526997460434
14,2,1,1.0986877468176166
21,4,0,1.5227710790412554
21,4,1,1.5316061261128286
21,8,0,1.0747391967300162
21,8,1,1.0835742438015894
12,4,0,0.6781412384616148
12,4,1,0.686976285533188
12,2,0,0.9021571796172344
12,2,1,0.9109922266888076
6,10,0,-0.5569931453916712
6,10,1,-0.548158098320098
12,6,0,0.45412529730599516
12,6,1,0.4629603443775684
21,6,0,1.2987551378856357
21,6,1,1.307590184957209
16,8,0,0.6055003964079937
16,8,1,0.6143354434795669
18,11,0,0.4571720048033734
18,11,1,0.4660070518749466
9,7,0,0.060574046534972004
9,7,1,0.06940909360654524
20,6,0,1.2049073778212316
20,6,1,1.2137424248928048
16,7,0,0.7175083669858036
16,7,1,0.7263434140573768
12,5,0,0.5661332678838049
12,5,1,0.5749683149553781
12,11,0,-0.10591455558305385
12,11,1,-0.09707950851148062
7,3,0,0.3209104087174021
7,3,1,0.32974545578897535
18,7,0,0.9052038871146126
18,7,1,0.9140389341861859
20,5,0,1.3169153483990412
20,5,1,1.3257503954706145
20,3,0,1.540931289554661
20,3,1,1.5497663366262342
21,9,0,0.9627312261522063
21,9,1,0.9715662732237795
10,5,0,0.37843774775499606
10,5,1,0.3872727948265693
15,3,0,1.0716924892326383
15,3,1,1.0805275363042115
9,3,0,0.5086059288462113
9,3,1,0.5174409759177845
11,3,0,0.6963014489750203
11,3,1,0.7051364960465936
16,11,0,0.2694764846745643
16,11,1,0.27831153174613754
20,11,0,0.6448675249321825
20,11,1,0.6537025720037557
8,8,0,-0.1452816841072424
8,8,1,-0.13644663703566917
14,8,0,0.4178048762791846
