player,dealer,action,value
20,7,0,-1.252752894204683
20,7,1,-1.2539600443107608
21,7,0,-1.282688019549997
21,7,1,-1.2838951696560748
15,10,0,-1.3833845763202857
15,10,1,-1.3845917264263634
12,10,0,-1.2935792002843436
12,10,1,-1.2947863503904213
17,10,0,-1.4432548270109136
17,10,1,-1.4444619771169913
19,10,0,-1.5031250777015417
19,10,1,-1.5043322278076194
20,10,0,-1.5330602030468556
20,10,1,-1.5342673531529334
13,9,0,-1.2300785560156
13,9,1,-1.2312857061216778
18,2,0,-0.7257037954437672
18,2,1,-0.7269109455498449
20,8,0,-1.3461886638187406
20,8,1,-1.3473958139248183
18,10,0,-1.4731899523562277
18,10,1,-1.4743971024623055
16,5,0,-0.9461408535953119
16,5,1,-0.9473480037013896
11,9,0,-1.170208305324972
11,9,1,-1.1714154554310499
13,10,0,-1.3235143256296578
13,10,1,-1.3247214757357355
16,10,0,-1.4133197016655998
16,10,1,-1.4145268517716776
17,3,0,-0.7892044397125106
17,3,1,-0.7904115898185884
11,10,0,-1.2636440749390299
11,10,1,-1.2648512250451076
10,4,0,-0.6730943319093703
10,4,1,-0.674301482015448
12,6,0,-0.9198361218281134
12,6,1,-0.9210432719341911
16,2,0,-0.6658335447531392
16,2,1,-0.6670406948592169
20,6,0,-1.1593171245906255
20,6,1,-1.1605242746967033
13,11,0,-1.4169500952437153
13,11,1,-1.418157245349793
20,2,0,-0.7855740461343952
20,2,1,-0.7867811962404729
20,3,0,-0.8790098157484527
20,3,1,-0.8802169658545305
12,9,0,-1.200143430670286
12,9,1,-1.2013505807763638
14,9,0,-1.2600136813609142
14,9,1,-1.261220831466992
14,7,0,-1.0731421421327991
14,7,1,-1.0743492922388769
14,10,0,-1.3534494509749717
14,10,1,-1.3546566010810495
14,2,0,-0.6059632940625111
14,2,1,-0.6071704441685889
20,11,0,-1.6264959726609134
20,11,1,-1.6277031227669911
15,11,0,-1.4768203459343432
15,11,1,-1.478027496040421
19,9,0,-1.4096893080874842
19,9,1,-1.410896458193562
20,9,0,-1.4396244334327981
20,9,1,-1.4408315835388759
10,10,0,-1.2337089495937157
10,10,1,-1.2349160996997934
18,3,0,-0.8191395650578247
18,3,1,-0.8203467151639025
16,11,0,-1.5067554712796571
16,11,1,-1.507962621385735
9,10,0,-1.2037738242484017
9,10,1,-1.2049809743544795
20,4,0,-0.9724455853625102
20,4,1,-0.973652735468588
21,4,0,-1.0023807107078242
21,4,1,-1.003587860813902
15,4,0,-0.8227699586359403
